date,total,rolling_mean,rolling_std,upper_bound,lower_bound,is_spike,is_drop,is_anomaly
2025-03-02,109,109.0,0.0,109.0,109.0,False,False,False
2025-03-09,2845,1477.0,1934.644153326394,5346.288306652788,-2392.288306652788,False,False,False
2025-03-15,2849,1934.3333333333333,1580.7863022348508,5095.905937803035,-1227.2392711363684,False,False,False
2025-03-20,5297,2775.0,2119.6238660039035,7014.247732007807,-1464.247732007807,False,False,False
2025-03-23,576,2335.2,2082.4803000268694,6500.160600053739,-1829.760600053739,False,False,False
2025-03-27,2704,2396.6666666666665,1868.7022948203032,6134.071256307273,-1340.73792297394,False,False,False
2025-03-28,191,2081.5714285714284,1898.6930467335383,5878.957522038505,-1715.814664895648,False,False,False
2025-03-29,67,2075.5714285714284,1906.0176509451023,5887.606730461634,-1736.4638733187762,False,False,False
2025-04-01,64127,10830.142857142857,23576.427283967147,57982.99742507715,-36322.71171079144,True,False,True
2025-05-01,39810,16110.285714285714,25547.542802353717,67205.37131899314,-34984.799890421724,False,False,False
2025-06-01,39281,20965.14285714286,26366.10528328983,73697.35342372252,-31767.067709436804,False,False,False
2025-07-01,58816,29285.14285714286,27998.340685527368,85281.8242281976,-26711.538513911877,False,False,False
2025-09-01,74989,39611.57142857143,29830.862094242508,99273.29561705644,-20050.152759913588,False,False,False
2025-09-02,76496,50512.28571428572,26814.121327603276,104140.52836949227,-3115.9569409208343,False,False,False
2025-09-03,71988,60786.71428571428,15766.604429556026,92319.92314482633,29253.50542660223,False,False,False
2025-09-04,65349,60961.28571428572,15816.43927178604,92594.1642578578,29328.40717071364,False,False,False
2025-09-05,26069,58998.28571428572,19339.42277417027,97677.13126262627,20319.440165945176,False,False,False
2025-09-06,58957,61809.142857142855,17320.525217484723,96450.1932921123,27168.09242217341,False,False,False
2025-09-07,14658,55500.857142857145,24952.333394084093,105405.52393102532,5596.190354688959,False,False,False
2025-09-08,83353,56695.71428571428,26209.64839974195,109115.01108519817,4276.417486230384,False,False,False
2025-09-09,88508,58411.71428571428,28050.643579748677,114513.00144521164,2310.4271262169277,False,False,False
2025-09-10,84300,60170.57142857143,29397.461301146075,118965.49403086357,1375.6488262792773,False,False,False
2025-09-11,73206,61293.0,29775.694058521403,120844.3881170428,1741.6118829571933,False,False,False
2025-09-12,78860,68834.57142857143,25785.312213591307,120405.19585575405,17263.94700138882,False,False,False
2025-09-13,56229,68444.85714285714,25979.36626394475,120403.58967074665,16486.124614967644,False,False,False
2025-09-14,14990,68492.28571428571,25864.856573571575,120221.99886142886,16762.57256714256,False,True,True
2025-09-15,53240,64190.42857142857,25482.655538340474,115155.73964810952,13225.117494747625,False,False,False
2025-09-16,63846,60667.28571428572,23159.163058526723,106985.61183133916,14348.959597232271,False,False,False
2025-09-17,57409,56825.71428571428,20683.683365673267,98193.08101706082,15458.347554367749,False,False,False
